index,ellipse_angle_deg,ellipse_angle_derivative
306,38.62,-1.8500000000000014
315,35.6,-3.019999999999996
549,41.96,-1.509999999999998
567,39.08,-3.0799999999999983
578,33.03,-6.049999999999997
587,29.9,-3.1300000000000026
597,28.72,-1.1799999999999997
870,39.81,-1.8999999999999986
879,34.86,-4.950000000000003
890,30.4,-4.460000000000001
909,27.29,-2.84
1113,36.73,-1.3300000000000054
1122,33.98,-2.75
1152,31.16,-1.0800000000000018
1332,39.14,-1.6799999999999997
1341,36.6,-2.539999999999999
1551,44.53,-1.1700000000000017
1590,37.53,-6.699999999999996
1599,35.13,-2.3999999999999986
1609,33.78,-1.3500000000000014
1799,40.56,-1.5499999999999972
1809,39.28,-1.2800000000000011
1818,36.26,-3.020000000000003
1827,33.84,-2.4199999999999946
1847,31.3,-1.639999999999997
2037,39.79,-1.9100000000000037
2046,35.73,-4.060000000000002
2055,31.22,-4.509999999999998
2064,28.62,-2.599999999999998
2327,83.95,-3.8599999999999994
2346,80.33,-3.6599999999999966
2366,75.82,-3.8800000000000097
2385,73.35,-3.3300000000000125
2414,44.8,-31.0
2423,39.92,-4.8799999999999955
2432,35.89,-4.030000000000001
2441,31.01,-4.879999999999999
2718,38.01,-6.330000000000005
2727,35.69,-2.3200000000000003
2736,31.79,-3.8999999999999986
2745,30.76,-1.0299999999999976
2922,38.56,-1.5
2931,37.18,-1.3800000000000026
2940,31.03,-6.149999999999999
2952,28.17,-2.8599999999999994
3165,36.06,-3.6400000000000006
3174,32.24,-3.8200000000000003
3325,39.6,-1.0599999999999952
3362,39.6,-1.1299999999999955
3389,36.99,-2.1400000000000006
3409,30.55,-5.489999999999998
3718,40.89,-3.710000000000001
3727,30.38,-10.510000000000002
3737,24.68,-5.699999999999999
4070,39.4,-4.020000000000003
4079,35.07,-4.329999999999998
4088,30.45,-4.620000000000001
4097,28.86,-1.5899999999999999
4301,37.74,-1.7299999999999969
4312,33.06,-4.68
4321,30.82,-2.240000000000002
4514,36.36,-1.730000000000004
4523,30.1,-6.259999999999998
4541,26.47,-2.650000000000002
4762,33.88,-4.529999999999994
4772,29.12,-4.760000000000002
4988,39.02,-1.8599999999999994
4997,33.01,-6.010000000000005
5008,27.4,-5.609999999999999
5225,35.86,-2.0900000000000034
5236,28.78,-7.079999999999998
5245,26.57,-2.210000000000001
5519,38.74,-2.4199999999999946
5528,35.64,-3.1000000000000014
5537,28.31,-7.330000000000002
5546,26.86,-1.4499999999999993
5555,25.49,-1.370000000000001
5818,37.35,-1.509999999999998
5828,31.65,-5.700000000000003
5837,29.12,-2.5299999999999976
5846,27.29,-1.8300000000000018
6059,31.59,-6.59
6068,28.91,-2.6799999999999997
6086,24.9,-3.91
6143,31.19,-1.7399999999999984
6197,34.48,-1.9299999999999997
6218,30.69,-3.349999999999998
6293,32.13,-4.089999999999996
6303,30.41,-1.7200000000000024
6386,34.7,-1.5799999999999983
6404,34.13,-1.029999999999994
6433,31.78,-3.6599999999999966
6442,30.51,-1.2699999999999996
6497,34.49,-3.1699999999999946
6524,34.39,-42.989999999999995
6533,30.11,-4.280000000000001
6629,31.22,-1.7899999999999991
6638,29.8,-1.4199999999999982
6667,31.94,-1.0699999999999967
6676,29.3,-2.6400000000000006
6749,30.07,-4.299999999999997
6836,33.32,-2.8699999999999974
6845,31.22,-2.1000000000000014
6856,29.53,-1.6899999999999977
6875,28.33,-1.610000000000003
6884,26.12,-2.2099999999999973
6949,31.09,-2.349999999999998
6959,28.83,-2.2600000000000016
6968,27.03,-1.7999999999999972
7009,28.63,-1.740000000000002
7055,27.36,-1.990000000000002
7114,31.32,-2.539999999999999
7123,28.28,-3.039999999999999
7141,26.84,-1.6600000000000001
7180,27.59,-1.0500000000000007
7245,31.38,-2.140000000000004
7294,29.14,-5.75
7395,32.85,-1.2100000000000009
7414,32.9,-1.6700000000000017
7423,31.58,-1.3200000000000003
7461,33.29,-2.1000000000000014
7536,38.14,-1.490000000000002
7545,33.57,-4.57
7610,32.87,-2.220000000000006
7638,32.61,-2.3100000000000023
7647,30.18,-2.4299999999999997
7722,31.77,-46.8
7788,32.11,-1.509999999999998
7809,32.55,-1.5700000000000003
7828,32.15,-1.6200000000000045
7839,27.84,-4.309999999999999
7923,30.01,-1.509999999999998
7973,31.05,-1.9499999999999993
8002,30.13,-1.879999999999999
8059,29.83,-1.870000000000001
8068,28.82,-1.009999999999998
8095,27.08,-1.9700000000000024
8152,25.91,-2.9299999999999997
8241,32.69,-2.039999999999999
