index,ellipse_angle_deg,ellipse_angle_derivative
9,26.07,-0.05000000000000071
18,26.52,0.4499999999999993
29,27.01,0.490000000000002
38,27.55,0.5399999999999991
47,28.05,0.5
56,28.75,0.6999999999999993
66,29.19,0.4400000000000013
75,29.84,0.6499999999999986
87,30.41,0.5700000000000003
96,30.94,0.5300000000000011
107,31.56,0.6199999999999974
116,32.24,0.6800000000000033
126,32.68,0.4399999999999977
135,33.38,0.7000000000000028
146,34.0,0.6199999999999974
156,34.46,0.46000000000000085
167,35.08,0.6199999999999974
177,35.76,0.6799999999999997
186,36.31,0.5500000000000043
195,36.96,0.6499999999999986
207,37.51,0.5499999999999972
216,38.02,0.5100000000000051
228,38.61,0.5899999999999963
237,39.41,0.7999999999999972
248,39.82,0.4100000000000037
258,40.52,0.7000000000000028
267,40.93,0.4099999999999966
276,40.87,-0.060000000000002274
288,41.32,0.45000000000000284
297,40.47,-0.8500000000000014
306,38.62,-1.8500000000000014
315,35.6,-3.019999999999996
326,35.24,-0.35999999999999943
335,36.12,0.8799999999999955
345,35.7,-0.4199999999999946
354,36.03,0.3299999999999983
365,35.83,-0.20000000000000284
375,36.82,0.990000000000002
384,36.96,0.14000000000000057
395,36.69,-0.2700000000000031
405,37.14,0.45000000000000284
414,37.85,0.7100000000000009
425,38.42,0.5700000000000003
434,38.95,0.5300000000000011
444,39.58,0.6299999999999955
453,40.19,0.6099999999999994
462,40.27,0.0800000000000054
471,40.29,0.01999999999999602
480,40.97,0.6799999999999997
489,41.45,0.480000000000004
500,41.94,0.4899999999999949
509,42.58,0.6400000000000006
519,41.84,-0.7399999999999949
528,43.11,1.269999999999996
539,43.47,0.35999999999999943
549,41.96,-1.509999999999998
558,42.16,0.19999999999999574
567,39.08,-3.0799999999999983
578,33.03,-6.049999999999997
587,29.9,-3.1300000000000026
597,28.72,-1.1799999999999997
608,28.96,0.240000000000002
618,29.62,0.6600000000000001
627,30.22,0.5999999999999979
636,30.76,0.5400000000000027
645,31.26,0.5
654,30.61,-0.6500000000000021
663,30.99,0.379999999999999
674,31.1,0.11000000000000298
684,31.69,0.5899999999999999
