index,ellipse_angle_deg,ellipse_angle_derivative
549,41.96,-1.509999999999998
567,39.08,-3.0799999999999983
870,39.81,-1.8999999999999984
1113,36.73,-1.3300000000000054
1332,39.14,-1.6799999999999995
1551,44.53,-1.1700000000000017
1799,40.56,-1.5499999999999972
2037,39.79,-1.910000000000004
2327,83.95,-3.86
2346,80.33,-3.6599999999999966
2385,73.35,-3.3300000000000125
2414,44.8,-31.0
2718,38.01,-6.330000000000005
3165,36.06,-3.640000000000001
3325,39.6,-1.0599999999999952
3362,39.6,-1.1299999999999957
4070,39.4,-4.020000000000003
4301,37.74,-1.7299999999999969
4762,33.88,-4.529999999999994
4988,39.02,-1.8599999999999997
5519,38.74,-2.4199999999999946
5818,37.35,-1.509999999999998
6143,31.19,-1.7399999999999984
6197,34.48,-1.93
6404,34.13,-1.029999999999994
6433,31.78,-3.6599999999999966
6497,34.49,-3.1699999999999946
6629,31.22,-1.7899999999999991
6667,31.94,-1.0699999999999967
6749,30.07,-4.299999999999997
6836,33.32,-2.869999999999997
6875,28.33,-1.610000000000003
6949,31.09,-2.349999999999998
7114,31.32,-2.539999999999999
7141,26.84,-1.66
7180,27.59,-1.0500000000000007
7245,31.38,-2.140000000000004
7294,29.14,-5.75
7414,32.9,-1.6700000000000017
7461,33.29,-2.1000000000000014
7536,38.14,-1.490000000000002
7638,32.61,-2.3100000000000023
7722,31.77,-46.8
7809,32.55,-1.5700000000000005
7828,32.15,-1.6200000000000043
7923,30.01,-1.509999999999998
7973,31.05,-1.9499999999999995
8002,30.13,-1.879999999999999
8059,29.83,-1.870000000000001
8095,27.08,-1.9700000000000024
8152,25.91,-2.93
8241,32.69,-2.039999999999999
8271,29.43,-1.09
8395,30.59,-1.9700000000000024
8490,31.46,-1.3800000000000026
8536,31.15,-3.1000000000000014
8719,32.33,-1.3100000000000025
8938,29.68,-1.3200000000000005
8956,26.78,-3.34
9031,27.47,-2.370000000000001
9097,28.11,-2.1700000000000017
9187,31.74,-2.850000000000005
9492,28.27,-1.5599999999999987
9550,28.21,-2.509999999999998
9580,27.81,-1.0800000000000018
9661,29.86,-1.620000000000001
9681,30.93,-1.2199999999999989
9757,28.5,-1.8900000000000008
9784,28.56,-1.490000000000002
9859,34.4,-1.4100000000000037
9886,33.82,-1.3599999999999994
9942,32.41,-1.0900000000000034
9970,32.68,-2.8800000000000026
10024,33.07,-1.6300000000000026
10060,33.42,-2.269999999999996
10117,32.14,-1.1700000000000017
10135,31.18,-1.1099999999999994
10219,29.15,-2.5700000000000003
10248,29.35,-1.9599999999999973
10330,29.45,-2.150000000000002
10387,28.36,-1.1099999999999994
10426,28.14,-1.5399999999999991
10557,29.54,-3.61
10785,27.13,-1.5600000000000025
10935,29.46,-1.8900000000000008
10963,28.39,-1.7100000000000009
11010,32.29,-1.8000000000000045
11094,32.42,-2.559999999999995
11226,32.2,-1.3599999999999994
11409,30.78,-1.6099999999999994
11457,29.47,-1.7200000000000024
11505,25.86,-3.629999999999999
11798,30.78,-1.16
12195,31.61,-3.6700000000000017
12243,36.54,-5.079999999999998
12263,36.65,-1.0500000000000045
12281,36.96,-1.0499999999999972
12300,36.04,-2.0
12320,34.69,-3.9200000000000017
12368,31.25,-1.8999999999999984
12425,33.02,-1.2199999999999989
12528,31.49,-1.0199999999999996
12546,30.85,-1.1899999999999975
12603,33.66,-1.4300000000000068
12641,30.86,-1.1600000000000037
12705,29.72,-1.7300000000000004
12861,33.12,-1.9200000000000017
12897,32.92,-4.299999999999997
12972,31.23,-3.4899999999999984
13008,32.12,-2.240000000000002
13074,33.14,-1.5
13092,32.13,-1.2399999999999949
13131,33.26,-1.480000000000004
13196,30.37,-1.9800000000000004
13401,32.1,-2.789999999999999
13439,34.4,-2.740000000000002
13560,32.37,-1.8500000000000012
13596,34.36,-2.93
13632,28.3,-3.289999999999999
13698,30.58,-3.3200000000000003
13755,28.13,-5.349999999999998
13857,29.54,-2.6700000000000017
13877,29.15,-2.490000000000002
13950,31.8,-1.4400000000000013
13979,34.09,-1.3599999999999994
14070,41.44,-3.1099999999999994
14109,35.59,-3.789999999999999
14129,34.47,-1.8299999999999983
14166,39.21,-1.2100000000000009
14204,34.27,-2.3799999999999955
14268,36.25,-2.6899999999999977
14334,35.72,-1.509999999999998
14354,32.82,-3.3999999999999986
14399,36.04,-1.2700000000000031
14436,33.74,-1.3500000000000014
14466,31.53,-4.189999999999998
14613,38.93,-1.6499999999999986
14688,37.99,-1.4499999999999955
14798,33.28,-4.949999999999996
14835,36.72,-2.950000000000003
14928,32.67,-1.8299999999999983
14986,37.35,-1.1000000000000014
15026,32.49,-2.1000000000000014
15062,31.7,-3.27
15080,30.21,-1.6099999999999994
15127,36.54,-1.6600000000000037
15482,37.57,-2.960000000000001
15587,36.99,-1.6099999999999994
15661,32.41,-2.140000000000001
15838,37.5,-1.0700000000000005
15866,38.08,-2.200000000000003
15884,39.07,-1.740000000000002
15922,36.51,-1.5900000000000034
15959,37.72,-1.6700000000000017
15986,37.12,-4.6200000000000045
16072,35.27,-3.699999999999996
16165,31.4,-2.3999999999999986
16315,33.45,-4.349999999999994
16390,35.16,-4.630000000000003
16427,37.76,-1.1799999999999995
16523,38.04,-1.509999999999998
16588,31.53,-3.75
16616,32.73,-2.460000000000001
16709,34.6,-2.509999999999998
16738,32.03,-3.259999999999998
16850,35.38,-1.4099999999999966
16886,31.81,-1.0400000000000027
16904,32.35,-2.039999999999999
16942,36.65,-2.0500000000000043
16970,36.19,-1.8700000000000043
