index,ellipse_angle_deg,ellipse_angle_derivative,motor_speed
297,40.47,-0.8500000000000014,1.0
306,38.62,-1.8500000000000014,1.0
519,41.84,-0.7399999999999949,1.0
549,41.96,-1.509999999999998,1.0
567,39.08,-3.0799999999999983,1.0
578,33.03,-6.049999999999997,1.0
587,29.9,-3.1300000000000026,1.0
654,30.61,-0.6500000000000021,1.0
870,39.81,-1.8999999999999986,1.0
879,34.86,-4.950000000000003,1.0
900,30.13,-0.2699999999999996,1.0
918,27.19,-0.09999999999999787,1.0
1113,36.73,-1.3300000000000054,1.0
1143,32.24,-0.75,1.0
1152,31.16,-1.0800000000000018,1.0
1332,39.14,-1.6799999999999997,1.0
1398,36.46,-0.07000000000000028,1.0
1581,44.23,-0.7700000000000031,1.0
1590,37.53,-6.699999999999996,1.0
1599,35.13,-2.3999999999999986,1.0
1628,32.77,-0.10999999999999943,1.0
1799,40.56,-1.5499999999999972,1.0
1809,39.28,-1.2800000000000011,1.0
1818,36.26,-3.020000000000003,1.0
1838,32.94,-0.9000000000000057,1.0
2018,40.35,-0.5599999999999952,1.0
2037,39.79,-1.9100000000000037,1.0
2046,35.73,-4.060000000000002,1.0
2055,31.22,-4.509999999999998,1.0
2082,29.72,-0.19000000000000128,1.0
2327,83.95,-3.8599999999999994,1.0
2355,79.7,-0.6299999999999955,1.0
2366,75.82,-3.8800000000000097,1.0
2385,73.35,-3.3300000000000125,1.0
2414,44.8,-31.0,1.0
2423,39.92,-4.8799999999999955,1.0
2432,35.89,-4.030000000000001,1.0
2451,30.2,-0.8100000000000023,1.0
2718,38.01,-6.330000000000005,1.0
2727,35.69,-2.3200000000000003,1.0
2736,31.79,-3.8999999999999986,1.0
2913,40.06,-0.09999999999999432,1.0
2922,38.56,-1.5,1.0
2931,37.18,-1.3800000000000026,1.0
2940,31.03,-6.149999999999999,1.0
3126,36.99,-0.21999999999999886,1.0
3165,36.06,-3.6400000000000006,1.0
3183,32.02,-0.21999999999999886,1.0
3325,39.6,-1.0599999999999952,1.0
3380,39.13,-0.9600000000000009,1.0
3398,36.04,-0.9500000000000028,1.0
3709,44.6,-0.07000000000000028,1.0
3718,40.89,-3.710000000000001,1.0
3727,30.38,-10.510000000000002,1.0
4050,43.41,-0.6500000000000057,1.0
4070,39.4,-4.020000000000003,1.0
4079,35.07,-4.329999999999998,1.0
4088,30.45,-4.620000000000001,1.0
4097,28.86,-1.5899999999999999,1.0
4301,37.74,-1.7299999999999969,1.0
