motor_speed,num_points,angle_max,angle_min,angle_median,angle_mean,start_index,end_index
1.0,25,45.7,38.06,40.88,41.3016,288,5810
5.0,100,39.63,28.5,32.885000000000005,32.739000000000004,6041,12026
10.0,129,44.55,31.45,37.23,36.990775193798456,12084,18023
15.0,143,46.62,37.03,41.0,41.07118881118881,18073,24050
20.0,153,52.33,40.72,45.72,45.78281045751634,24087,30056
25.0,161,63.43,44.02,52.35,52.58316770186335,30134,36069
20.0,153,60.14,44.71,53.18,52.829019607843136,36149,42088
15.0,149,56.31,43.88,50.5,50.41926174496645,42119,48114
10.0,140,52.42,39.07,45.68,45.31092857142857,48135,54108
5.0,108,45.49,33.66,40.21,40.29935185185185,54150,60051
1.0,36,62.54,37.67,46.465,47.175555555555555,60161,65980
